 ,,,,,,,,,,,,,,,,,,,
,            FORMULIR IDENTIFIKASI KOLEKSI PERPUSTAKAAN,,,,,,,,,,,,,,,,,TOTAL SELURUH:,112
,,,,,,,,,,,,    Nomor:,ENSIKLOPEDI,,,,,,
,,,,,,,,,,,,,,,,,,,
NO,I S B N,DDC,Judul Buku,Jenis Terbitan,Kategori Bacaan,Negara Asal,Propinsi,Nama Bahasa,Jumlah Halaman,Tambahan isi,Pengarang/ Editor,Penerbit,Tahun Terbit,Lokasi,Jumlah Buku,Ada Fisik,,,
,978-602-1006-41-2,230.3 BEA e,Ensiklopedi Alkitab Tematik,Ensiklopedi,Umum,Indonesia,,Bahasa Indonesia,227,,Mike Beaumont,Yayasan Komunikasi Bina Kasih,2018,1,1,1,,,
,0-7172-4693-0,413.028 NEW,The New Lexicon Webster's (Vol-1) Dictionary of the English Language (Encyclopedic edition),Ensiklopedi,Umum,USA,,Inggris,704,,-,Lexicon Publications Inc.,2004,1,1,1,,,
,0-7172-4693-0,413.028 NEW,The New Lexicon Webster's Dictionary of the English Language (Vol-2) (Encyclopedic edition),Ensiklopedi,Umum,USA,,Inggris,649,,-,Lexicon Publications Inc.,2004,1,1,1,,,
1,0-19-572435-6,220.3 BAR w,World Christian Encyclopedia,Ensiklopedi,Umum,USA,,Inggris ,1010,,David B.Barrett (E),Nairobi Oxford University press 1982,1982,1,3,3,,,
2,1-59339-266-4,200.3   SFR e,Britamnica Encyclopedia of World Religions,Ensiklopedi,Umum,Singapore,,Inggris,"1,199",,Jacob E. Sfra,Britannica,1999,1,1,1,,,
3,1-60136-000-2,220.3 SCH e,Encyclopedia of World Religions,Ensiklopedi,Umum,USA,,Inggris,960,,"Johannes P.Schade, PhD., M.D., D. Sc. Hc.",Concord Publishing,-,1,1,1,,,
14,90-04-11316-9,220.3  BRI e,"The Encyclopedia of Christianity, vol. 1 A-D",Ensiklopedi,Umum,USA,,Inggris,893,,Erwin Fahlbusch,Eerdmans,1999,1,1,1,,,
